Ms. 45,Livre inachevé : [poèmes et chansons],1936-1944,1936/1944,français|fre,papier,manuscrit,55 feuillets,220 x 170 mm,Cahier unique cousu,"Manuscrit autographe, coupures de presse. Suite du cahier « Brindilles de vie » conservé sous la cote Ms. 46. Poèmes et chansons. Portrait (fol. 1v). Cf. aussi Ms. 39 et 47. ","Ancienne collection de l’École Nationale des Arts Industriels, n° 14 961. Inscrit dans le registre des entrées sous le numéro d’inventaire 81 435",,,"Charles Barenne|Barenne, Charles",,,,,,,,,
Ms. 46,Poésie et chansons,Vers 1935,1925/1945,français|fre,papier,manuscrit,163 feuillets,220 x 170 mm,Cahier unique cousu,"Contient : « Brindilles de vie » (fol. 2-84) ; « Les Chrysanthèmes » (fol. 85-115) ; « Les Heures rouges » (fol. 116-137) ; « Avec le sourire » (fol. 138-163). Contient aussi : Portrait (fol. 3, 138v) et illustration. Cf. aussi Ms. 39, 45 et 47.","Ancienne collection de l'École Nationale des Arts Industriels, n° 14 069. Inscrit dans le registre des entrées sous le numéro d’inventaire 81 436",,,"Charles Barenne|Barenne, Charles",,,,,,,,,
Ms. 47,"Roubaix pendant l'occupation allemande, du 9 octobre 1914 au 18 octobre 1918, choses vues",1914-1918,1914/1918,français|fre,papier,manuscrit,275 feuillets,220 x 180 mm,Quatorze cahiers réunis et cousus,"Manuscrit autographe. Journal et poèmes. Contient un poème de 1939 (fol. 273v). Portrait (fol. 3). Cf. aussi Ms. 39, 45 et 46.","Ancienne collection de l'École Nationale Supérieure des Arts et Industries Textiles, n° 15 092. Inscrit dans le registre des entrées sous le numéro d’inventaire 81 483",http://www.bn-r.fr/fr/notice.php?id=MS_047,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Charles Barenne|Barenne, Charles",,,,,,,,,
Ms. 48,La vie est toute une chanson. Second volume,1918-1937,1918/1937,français|fre,papier,manuscrit,90 feuillets,220 x 170 mm,Cahier unique cousu,Cahier d’écolier. Mention manuscrite de l'Archiviste municipal. Cf. aussi Ms. 37.  ,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 14 040,,,"Alfred Losfeld|Losfeld, Alfred",,,,,,,,,
Ms. 49,Cours de vocabulaire anglais,1917-1918,1917/1918,français|fre,papier,manuscrit,26 feuillets,160 x 100 mm,Demi-reliure toile,"Cours de vocabulaire d'anglais par Monsieur B. Brichant, appartenant à l'élève A. Lenthier, Pensionnat Saint-Louis, 2ème classe.",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 112 562,,,"A. Lenthier|Lenthier, A.",,,,,,,,,
Ms. 50,Toxicologie. 2ème année,Vers 1910,1900/1920,français|fre,papier,manuscrit,206 feuillets (versos blancs),210 x 140 mm,Reliure,"Contient aussi : Liqueurs titrées, acidimétrie (fol. 154-174) ; Dosage Institut Meurice 1909-1910 (fol. 175-206). Adresse de Gaston Verse (fol. 1). Coupures de presse jointes au manuscrit. ","Don de Mme Masure, de Wattrelos. Inscrit dans le registre des entrées sous le numéro d’inventaire 67 783",,,"Gaston Verse|Verse, Gaston",,,,,,,,,
Ms. 51,Histoire sommaire du Premier Régiment de Carabiniers,Entre 1860 et 1880,1860/1880,français|fre,papier,manuscrit,61 p. - 31 feuillets,190 x 150 mm,Reliure,"Contient : Relation du décès d'Agricola Viala par Léonce Werquin (fol. 1). L'histoire du Premier régiment de Carabiniers est peut-être de la main d'un parent de Léonce Werquin. Contient aussi des textes divers, poésies et chansons (fol. 7v-31).   ","Dépôt du Musée de Roubaix, n° 376. Inscrit dans le registre des entrées sous le numéro d’inventaire 133 636",,,,,,,,,,,,
Ms. 52,Cahier journalier,1901,1901,français|fre,papier,manuscrit,38 feuillets ,225 x 170 mm,Cahier unique cousu,"Cahier d'exercices scolaires de l'École Municipale de Filles de Roubaix. Le cahier porte la mention « Fournitures gratuites de la Ville de Roubaix, édition Paul Deloffre, Landrecies, Nord. » ","Dépôt du Musée de Roubaix, n° 377. Inscrit dans le registre des entrées sous le numéro d’inventaire 133 637",,,"Jeanne Colette|Colette, Jeanne",,,,,,,,,
Ms. 53,"La grève des saisons : fantaisies en un prologue, deux scènes et un épilogue",Vers 1930,1920/1940,français|fre,papier,dactylographie,14 feuillets,300 x 220 mm. Plié 220 x 150 mm,Couverture cartonnée,Dactylographie avec annotations manuscrites,"Dépôt du Musée de Roubaix, n° 382. Inscrit dans le registre des entrées sous le numéro d’inventaire 133 642",,,"Jacques Bonnehon|Bonnehon, Jacques$Jacques Salève|Salève, Jacques",,,,,,,,,
Ms. 54,Six chansons inédites,1930,1930,français|fre,papier,manuscrit,10 feuillets,230 x 180 mm,"Cahier unique cousu, couverture illustrée","Chansons sur le thème de Roubaix, de l'inauguration du carillon de l'église Saint Martin et du concours organisé par la Chanson de Roubaix. Recueil dédicacé à Paul Michaux, Président des Amis de Roubaix. ",Don de Robert Vandecrux. Inscrit dans le registre des entrées sous le numéro d’inventaire 50 444,,,"Charles Barenne|Barenne, Charles",,,,,,,,,
Ms. 55,Livret militaire,1870-1896,1870/1896,français|fre,papier,manuscrit,34 feuillets,165 x 110 mm,"Cahier unique cousu, couverture plein papier, inscription manuscrite","Papiers personnels de Louis Richard, directeur du Théâtre de marionnettes du même nom. Le présent carnet, délivré lors de la première incorporation du soldat, comporte un état civil et militaire, des instructions générales et l'ordre de route à suivre en cas de mobilisation (fol. 25). La couverture du livret indique le corps d'affectation, la classe de mobilisation et le matricule du militaire (Corps du 1er Régiment territorial d'Infanterie, classe 1870). Ce carnet l'accompagnait durant les années de services accomplis.",Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 137 710,,,"Louis Richard|Richard, Louis",,,,,,,,,
Ms. 56,Livret de travail,1868-1890,1868/1890,français|fre,papier,manuscrit,18 feuillets,165 x 110 mm,"Cahier unique cousu, couverture plein papier","Papiers personnels de Louis Richard, directeur du Théâtre de marionnettes du même nom. Livret d'ouvrier délivré par la mairie de Roubaix le 2 juillet 1868, mentionnant sa profession (tourneur en fer) ainsi que les dates d'entrées et de sorties des différents ateliers d'usine dans lesquels Louis Richard a travaillés.",Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 137 713,,,"Louis Richard|Richard, Louis",,,,,,,,,
Ms. 57,"Livret de saltimbanque, bateleur, etc.",1869,1869,français|fre,papier,manuscrit,26 feuillets,165 x 110 mm,"Cahier unique cousu, couverture plein papier","Papiers personnels de Louis Richard, directeur du Théâtre de marionnettes du même nom. Le carnet, délivré par la préfecture du département du Nord, servait à réglementer l'exercice de la profession de « saltimbanque, bateleur, escamoteur, conducteur d'animaux, joueur d'orgue, musicien ambulant ou chanteur » selon l'arrêté du 5 janvier 1854. Le livret comporte au fol. 3 une fiche d'identité mentionnant le nom, la profession et détaillant l'apparence physique de son propriétaire.",Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 137 714,,,"Louis Richard|Richard, Louis",,,,,,,,,
Ms. 58,Papiers Louis Richard ,XIXe – XXe siècle,1801/2000,français|fre,papier,manuscrit,6 feuillets ,270 x 210 mm,Feuillets volants,Papiers de famille et papiers d'affaires divers,Don de Paul Delannay dit Robert Henry. Inscrit dans le registre des entrées sous le numéro d’inventaire 137 712,,,"Louis Richard|Richard, Louis",,,,,,,,,
Ms. 59,Lettres de Marcel Guillemyn à Charles Bodart,Vers 1961,1951/1971,français|fre,papier,manuscrit,1 feuillet ,165 x 120 mm,Feuillet volant,Correspondance,Don de Marcel Guillemyn,,,"Marcel Guillemyn|Guillemyn, Marcel",,,,,,,,,
Ms. 60,Livre d'or d'Inch Allah,1988-1989,1988/1989,français|fre,papier,manuscrit,57 feuillets,150 x 210 mm,Emboîtage 160 x 220 mm,"Recueil des impressions des spectateurs du court-métrage « Inch Allah » de Chantal Briest et Jean-Pierre Lenoir, tourné à Roubaix. Impressions recueillies lors des diffusions au service Discothèque de la Médiathèque de Roubaix. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 154 185,,,,,,,,,,,,
Ms. 61,Livres d'heures,XVe siècle,1401/1500,français|fre,parchemin,manuscrit,83 feuillets,170 x 120 mm,"Reliure 18e siècle basane havane, dos à nerfs orné de fleurons et de palettes, plats ornés d'un motif central de volutes et feuillages estampés à froid et encadrés d'un triple filet doré","Contient deux calendriers, l'un d'une autre main que le reste du manuscrit, de février à juillet (fol. 1-6v), l'autre de novembre à décembre (fol. 7-11v). Texte sur deux colonnes à l'encre noire et rouge comportant quelques initiales ornées à l'encre rouge et bleue. Le vélin présente des défauts sur plusieurs feuillets. De nombreux feuillets sont très jaunis et presque illisible.",Achat auprès de la Librairie Yves Vachon. Inscrit dans le registre des entrées sous le numéro d’inventaire 156 822,,,,,,,,,,,,
Ms. 62,Compte du ménage de Madame de Brigode,1821-1825,1821/1825,français|fre,papier,manuscrit,82 feuillets,130 x 210 mm,Demi-reliure 19e siècle,"Journal des comptes du ménage du Baron Romain-Joseph de Brigode-Kemlandt, député du Nord et maire d'Annapes. Journal tenu par son épouse, tant à Annapes qu'à Paris, pour la période du 11 août 1821 au 31 décembre 1825. ",Don anonyme. Inscrit dans le registre des entrées sous le numéro d’inventaire 170 077,,,"Romain-Joseph de Brigode-Kemlandt|Brigode-Kemlandt, Romain-Joseph de",,,,,,,,,
Ms. 63,Secours National de Croix. Réunions du Comité central,1941-1944,1941/1944,français|fre,papier,manuscrit$dactylographie,38 feuillets (21-38 blancs),220 x 180 mm,Cahier unique cousu dans une pochette cartonnée,"Compte-rendus des réunions annuelles du Comité central du Secours National de Croix du 26 mars 1941 au 28 mars 1944, de la main du secrétaire Louis Cassette. Contient la liste des membres du Comité (fol. 1-1v), des extraits de presse sur les activités du Secours national, une note manuscrite à l'adresse du secrétaire (fol. 19) et un double de courrier (fol. 20). Cahier d'écolier de l'École communale de Croix.",Dépôt de l'Association des Amis du Musée de Roubaix. Inscrit dans le registre des entrées sous le numéro d’inventaire 154 563,,,"Louis Cassette|Cassette, Louis",,,,,,,,,
Ms. 64,Recueil de chansons,XXe siècle,1901/2000,français|fre,papier,manuscrit,54 feuillets (2 feuillets collés ; 38-54 blancs),220 x 170 mm,Cahier unique cousu,"Recueil de chansons populaires pour la jeunesse. Paroles et musique. Contient des indications de jeux, évolutions et mimiques à faire réaliser par des enfants. ",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 161 804,,,"Marie-Louise Pont|Pont, Marie-Louise",,,,,,,,,
Ms. 65,Malkré,Fin XVIIIe siècle ou début XIXe siècle,1775/1825,guèze|gez,parchemin,manuscrit,57 feuillets,150 x 100 mm,Reliure cuir décoré,"Manuscrit éthiopien d'inspiration copte rédigé en guèze. Invocations à la Vierge Marie. Constitué de deux parties : « Makléta Segé » ou « Cantique de la fleur ». Il s'agit d'une description intégrale des parties du corps de Marie, des cheveux jusqu'aux doigts de pieds. « Malkré de Saint Georges ». Le texte est composé d'une cinquantaine de strophes, commençant chacune par « Salut à... ». Le poème est une invocation à chacune des parties du corps exaltées dans ce qu'elles ont de plus remarquables. Contient douze peintures pleine page (fol. 1v-4v ; fol. 55-57) : Saint George terrassant le dragon (fol. 1v) ; La Vierge à l'enfant (fol. 2) ; L'Archange Gabriel et les trois enfants dans la fournaise (fol. 2v) ; Satan décapité par un ange (fol. 3) ; La Sainte Trinité (fol. 3v) ; Jésus de Nazareth, roi des Juifs encadré par Marie et Jean (fol. 4) ; Saint Gabra Manfas Qeddus (le serviteur de l'Esprit Saint) ; Martyre de Saint Étienne par lapidation (fol. 55) ; La Reine de Saba et le Roi Salomon (fol. 55v) ; Lors de la fuite en Égypte, la Vierge et l'Enfant encadrés par Salomé et Joseph (fol. 56) ; La Vierge sous le nom de « Kidana Mekrat » (Pacte de Miséricorde) (fol. 56v) ; Saint Abonna Takla Hàymànat (Pére, Plante de la foi) (fol. 57). ",Provenance inconnue.,,,,,,,,,,,,
Ms. 66,Rouleau protecteur éthiopien,XIXe siècle,1801/1900,guèze|gez,parchemin,manuscrit,1 rouleau,2050 x 135 mm,Conditionnement dans une boite de cuir,"Le rouleau est composé de trois bandes rassemblés ensemble et sur chaque bande figure une iconographie. En haut de la bande supérieure du rouleau, sont représentées trois parties de visages (les yeux et le nez) à l'intérieur de rectangle et ornés de bandeaux de fleurs. Sur la bande centrale, est représenté un ange ou un archange armé d'une épée (Saint Michel ou Saint Georges ?). En bas de la bande inférieure, sont représentées trois croix (le Golghota ?). Manuscrit calligraphié sur deux colonnes à l'encre noire et rouge. Rouleau restauré par l’atelier de reliure de la médiathèque en 2000.",Achat en 2000,,,,,,,,,,,,
Ms. 67,"Papiers Jean-François Collette, menuisier de Roubaix",1881-1920,1881/1920,français|fre,papier,manuscrit$imprimé,68 feuillets,170 x 110 mm,"Reliure de type emboîtage, cahier unique cousu, couverture parchemin","Livret militaire de Jean-François Collette, classe 1880, ouvrier canonnier, incorporé à divers corps d'armée stationnés à Douai de 1881 à 1906. Contient aussi une attestation des Établissements Alphonse Wagnon, datée de 1920. ",Don de Marcel Guillemyn. Inscrit dans le registre des entrées sous le numéro d’inventaire 170 079,,,"Jean-François Collette|Collette, Jean-François",,,,,,,,,
Ms. 68,Droit de l'enseignement et pédagogie. Notes,Vers 1887,1877/1897,français|fre,papier,manuscrit,"53 feuillets (7-33, 35-53 blancs)",250 x 180 mm,"Cahier unique cousu, couverture toile portant la marque de l'Institut Turgot de Roubaix",Fragments des notes d'un étudiant (élève ou instituteur ?) dans un cahier,Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 161 384,,,,,,,,,,,,
Ms. 69,Livre d'or de l'exposition « Lire » 15 février - 15 mars 1972 à la Bibliothèque Municipale de Roubaix organisée par l'Association pour le développement de la lecture,15 février 1972-15 mars 1972,1972,français|fre,papier,manuscrit,83 feuillets,220 x 170 mm,Reliure en spirale,Contient les remarques manuscrites des visiteurs de l'exposition (fol. 1-63),Provenance inconnue,,,,,,,,,,,,
Ms. 70,Cahier de dessin,1905-1906,1905/1906,français|fre,papier,manuscrit,13 feuillets,225 x 170 mm,Reliure toile,"Cahier de l'élève Émile Godefroy, en cours moyen à l'École Municipale de Garçons de Roubaix, dans la classe de M. Blas. Le cahier porte sur la couverture la mention « Fournitures gratuites de la ville de Roubaix, édition Paul Deloffre, Landrecies, Nord » et sur la 4e de couverture « la Déclaration des Droits de l'Homme et du Citoyen ». ",Provenance inconnue,,,"Émile Godefroy|Godefroy, Émile",,,,,,,,,
Ms. 71,Cours d'algèbre,1941-1943,1941/1943,français|fre,papier,manuscrit,12 feuillets,225 x 175 mm,Cahier unique cousu dans un coffret en carton entoilé,"Cahier de l'élève Vanderplaetsen, classe de 1ère B, année scolaire 1941-1942, faisant partie d'un corpus comprenant deux autres cahiers sous la cote Ms 72 et Ms 73. Le cahier porte sur la couverture la mention « Ville de Roubaix. Fournitures gratuites, édition A. Druez, Landrecies, Nord » et sur la 4e de couverture « la Déclaration des Droits de l'Homme et du Citoyen ».",Don de Bernard Grelle,,,Vanderplaetsen|Vanderplaetsen,,,,,,,,,
Ms. 72,Cours d'anglais,1941-1943,1941/1943,français|fre,papier,manuscrit,42 feuillets,225 x 175 mm,Cahier unique cousu dans un coffret en carton entoilé,"Cahier de l'élève Vanderplaetsen, classe de 1ère B, année scolaire 1941-1942, faisant partie d'un corpus comprenant deux autres cahiers sous la cote Ms 71 et Ms 73. Le protège cahier est offert par la Caisse d'épargne de Roubaix. ",Don de Bernard Grelle,,,Vanderplaetsen|Vanderplaetsen,,,,,,,,,
Ms. 73,Cours de puériculture,1941-1943,1941/1943,français|fre,papier,manuscrit,18 feuillets,225 x 175 mm,Cahier unique cousu dans un coffret en carton entoilé,"Cahier de l'élève Vanderplaetsen, classe de 1ère B, année scolaire 1941-1942, faisant partie d'un corpus comprenant deux autres cahiers sous la cote Ms 71 et Ms 72. Le protège cahier est offert par la Caisse d'épargne de Roubaix",Don de Bernard Grelle,,,Vanderplaetsen|Vanderplaetsen,,,,,,,,,
Ms. 74,Souvenirs d'un appelé tourquennois incorporé au 151e RI à Metz en 1930,1930,1930,français|fre,papier,manuscrit,50 feuillets,220 x 175 mm,Reliure toile,"Ces notes ne forment pas un journal rédigé au jour le jour, mais un récit élaboré après coup. Ce cahier retrace les six premiers mois d'incorporation de l'auteur. Il est vraisemblable qu'il en a poursuivi la rédaction sur un autre cahier. ",Don de Bernard Grelle,,,"Jules Duprez|Duprez, Jules",,,,,,,,,
Ms. 75,Cahier de géométrie,Vers 1900,1890/1910,français|fre,papier,manuscrit,41 feuillets (20-41 blancs),220 x 170 mm,Reliure toile,Contient des règles et exercices de géométrie (fol. 1-20).,Provenance inconnue,,,"Raymond Vanderplancke|Vanderplancke, Raymond",,,,,,,,,
Ms. 76,Recueil d'écrits sur la première guerre mondiale,Entre 1914 et 1919,1914/1919,français|fre,papier,manuscrit,33 feuillets,215 x 170 mm,Reliure toile,"Auteur inconnu. Le cahier a pu appartenir à M. Louis Patin dont on retrouve le nom inscrit au crayon à plusieurs endroits. Fol. 1-27 : Description de quelques événements de la première guerre mondiale : récit du bombardement de Lille ; Extrait du Bulletin des armées du 5 décembre 191? ; Éloge de la Belgique et diatribe contre Anvers. Fol. 27-29 : Extrait d'un discours de Jules Guesde. Fol. 29-29v : Discours de Viviani à la Chambre. Fol. 30-33 : Textes de chansons. Fol. 33v : Brouillon d'une lettre adressée à M. le Gérant du journal de Roubaix. Service, petites correspondances militaires. La fin de la lettre est au recto du fol. 33. Cette lettre n'est pas de la même main que le reste du manuscrit.",Provenance inconnue,http://www.bn-r.fr/fr/notice.php?id=Ms_076,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Louis Patin|Patin, Louis",,,,,,,,,
Ms. 77,La lecture à Roubaix dans les années [19]30. Souvenirs d'un sexagénaire,1991,1991,français|fre,papier,manuscrit,5 feuillets,210 x 150 mm,Reliure toile,,Don de l'auteur,,,"Lucien Vercameur|Vercameur, Lucien",,,,,,,,,
Ms. 78,Carnet de la famille Dervaux,1916-1929,1916/1929,français|fre,papier,manuscrit,70 feuillets,170 x 110 mm,"Cahier unique cousu, couverture de moleskine noire",Le carnet est ouvert des deux côtés et comporte un texte de nature différente selon le sens de l'ouverture. Début du carnet (fol. 1-48) : Recettes de cuisine. Confiserie et pâtisserie [par Mme Dervaux]. Fol. 1-70 : Fin du carnet (folioté en remontant vers le début du carnet). Contient deux pièces probablement transcrites par M. Albert Dervaux : « Guillaume Tell » : pièce en deux actes [pour marionnettes] de Jules Watteeuw (fol. 1-42 a tergo) ; « L'esquelette » : bamboche en un acte [pour marionnettes] de Charles Bodart-Timal (fol. 43-70 a tergo). ,Don de Paul Delannay dit Robert Henry en 1993,,,"Albert Dervaux|Dervaux, Albert",,,,,,,,,
Ms. 79,L'estrade aux perroquets : roman,1944,1944,français|fre,papier,dactylographie carbone,185 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix",Le dernier feuillet porte la mention suivante : « 22 juillet 1944 ».,Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 80,Les fauves en liberté : roman,1943,1943,français|fre,papier,dactylographie carbone,158 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix ",Dactylographie signée avec corrections manuscrites. Le dernier feuillet porte la mention suivante : « 2 janvier 1943 ».,Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 81,La bave : roman,1943,1943,français|fre,papier,dactylographie carbone,160 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix ","Dactylographie signée avec corrections manuscrites. Le dernier feuillet porte la mention suivante : « Roubaix, le 10/12/43 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 82,L'assiette au beurre : roman,1943,1943,français|fre,papier,dactylographie carbone,172 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Dactylographie signée avec corrections manuscrites. Le dernier feuillet porte la mention suivante : « Roubaix, le 25 février 1943 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 83,La clique à Balthazar : roman,1944,1944,français|fre,papier,dactylographie carbone,185 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Dactylographie signée. Le dernier feuillet porte la mention suivante : « Le 3 septembre 1944, alors que les Alliés entrent à Roubaix et que mon père n'est plus là pour applaudir ce beau jour... ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
